filename,survey,longitude,latitude,area,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea
PS96_007_0006__PS96_007-1_2015-12-29_3765.jpg,PS96,-26.9837,-74.6621,2.2427568032859027,14155776.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0008__PS96_007-1_2015-12-29_3705.jpg,PS96,-26.967,-74.6591,2.3176438094665412,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PS96_007_0010__PS96_007-1_2015-12-29_3806.jpg,PS96,-26.9916,-74.6652,2.2850145637601202,14155776.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PS96_007_0013__PS96_007-1_2015-12-29_3649.jpg,PS96,-26.952,-74.6567,2.3562421079054983,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0015__PS96_007-1_2015-12-29_3664.jpg,PS96,-26.9563,-74.6578,2.1548875707998287,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0017__PS96_007-1_2015-12-29_3830.jpg,PS96,-26.9954,-74.6664,2.6477199470805317,14155776.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0018__PS96_007-1_2015-12-29_3701.jpg,PS96,-26.966,-74.6589,1.7204358422260393,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0019__PS96_007-1_2015-12-29_3758.jpg,PS96,-26.9821,-74.6615,2.0458907192275015,14155776.0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
PS96_007_0021__PS96_007-1_2015-12-29_3793.jpg,PS96,-26.9898,-74.6645,2.436735037763749,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0022__PS96_007-1_2015-12-29_3745.jpg,PS96,-26.9765,-74.6605,2.1131450913704084,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0025__PS96_007-1_2015-12-29_3840.jpg,PS96,-26.9968,-74.6671,1.750874087194295,14155776.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0026__PS96_007-1_2015-12-29_3843.jpg,PS96,-26.9975,-74.6674,2.084166418034557,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_008_0007__PS96_008-2_2015-12-30_4104.jpg,PS96,-29.4067,-74.9076,2.547204215072041,14155776.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_008_0011__PS96_008-2_2015-12-30_3929.jpg,PS96,-29.416,-74.9176,2.456526683955127,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_008_0015__PS96_008-2_2015-12-30_3886.jpg,PS96,-29.4182,-74.919,2.877874856872669,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_008_0017__PS96_008-2_2015-12-30_4105.jpg,PS96,-29.4066,-74.9076,2.487125964944491,14155776.0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
PS96_010_0009__PS96_010-3_2016-01-01_4338.jpg,PS96,-26.0765,-74.9543,2.7687030233476206,14155776.0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0011__PS96_010-3_2016-01-01_4297.jpg,PS96,-26.0715,-74.9522,1.3832720729635186,14155776.0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
PS96_010_0024__PS96_010-3_2016-01-01_4345.jpg,PS96,-26.0777,-74.9548,2.5030718797406277,14155776.0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PS96_090_0015__PS96_090-4_2016-01-29_1544.jpg,PS96,-17.0358,-72.435,,14155776.0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
PS96_057_0007__PS96_057-3_2016-01-21_1042.jpg,PS96,-29.0188,-76.3215,4.658614842719368,14155776.0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_026_0006__PS96_026-3_2016-01-08_4615.jpg,PS96,-37.9172,-75.2709,2.6723943583403784,14155776.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0013__PS96_010-3_2016-01-01_4221.jpg,PS96,-26.0592,-74.9479,2.2405322140837094,14155776.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0016__PS96_010-3_2016-01-01_4128.jpg,PS96,-26.0411,-74.9439,1.575817812359099,14155776.0,0,0,0,0,4,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0
PS96_010_0019__PS96_010-3_2016-01-01_4340.jpg,PS96,-26.0771,-74.9544,3.557094549455006,14155776.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0020__PS96_010-3_2016-01-01_4300.jpg,PS96,-26.0719,-74.9524,2.300128286898384,14155776.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0021__PS96_010-3_2016-01-01_4192.jpg,PS96,-26.0533,-74.9466,2.616064068951834,14155776.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_026_0003__PS96_026-3_2016-01-08_4593.jpg,PS96,-37.9175,-75.2724,3.2575681321398786,14155776.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_026_0012__PS96_026-3_2016-01-08_4623.jpg,PS96,-37.9171,-75.2704,2.977057657749359,14155776.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_026_0020__PS96_026-3_2016-01-08_4647.jpg,PS96,-37.9177,-75.2686,2.3632999882339725,14155776.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_057_0011__PS96_057-3_2016-01-21_1000.jpg,PS96,-29.0284,-76.3199,3.789485665534116,14155776.0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
PS96_057_0008__PS96_057-3_2016-01-21_0993.jpg,PS96,-29.0296,-76.3196,4.450301254291608,14155776.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_106_0007__PS96_106-2_2016-01-31_0114.jpg,PS96,-17.8971,-72.6076,,14155776.0,0,0,0,0,2,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0
PS96_090_0007__PS96_090-4_2016-01-29_1521.jpg,PS96,-17.0328,-72.4344,,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_057_0001__PS96_057-3_2016-01-21_0978.jpg,PS96,-29.0325,-76.319,3.8923988306604964,14155776.0,0,0,0,0,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PS96_090_0003__PS96_090-4_2016-01-29_1789.jpg,PS96,-17.0771,-72.4437,3.0325816765162945,14155776.0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
PS96_090_0001__PS96_090-4_2016-01-29_1786.jpg,PS96,-17.0768,-72.4437,2.3380587074458927,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_106_0003__PS96_106-2_2016-01-31_0100.jpg,PS96,-17.8943,-72.6076,34.38485643852522,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_007_0020__PS96_007-1_2015-12-29_3780.jpg,PS96,-26.9876,-74.6636,2.543170988191763,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_106_0002__PS96_106-2_2016-01-31_0122.jpg,PS96,-17.8989,-72.6075,,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PS96_090_0022__PS96_090-4_2016-01-29_1597.jpg,PS96,-17.0458,-72.4372,,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
PS96_106_0010__PS96_106-2_2016-01-31_0038.jpg,PS96,-17.8809,-72.6079,,14155776.0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PS96_106_0011__PS96_106-2_2016-01-31_0076.jpg,PS96,-17.8891,-72.6078,,14155776.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_090_0012__PS96_090-4_2016-01-29_1685.jpg,PS96,-17.0592,-72.4403,3.1904695465667103,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_027_0011__PS96_027-2_2016-01-14_0001.jpg,PS96,-52.1745,-76.7196,2.8218762559272386,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_048_0013__PS96_048-2_2016-01-18_0770.jpg,PS96,-35.3198,-74.767,2.1651210478009646,14155776.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PS96_057_0009__PS96_057-3_2016-01-21_1049.jpg,PS96,-29.0167,-76.3216,4.1216505459586665,14155776.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
