cellID,bryozoans_hard_branching-bryozoans,bryozoans_hard_encrusting-bryozoans,bryozoans_hard_fenestrate-bryozoans,bryozoans_hard_massive-bryozoans,bryozoans_soft_dendroid-bryozoans,bryozoans_soft_foliaceous-bryozoans,hydrocorals_branching-stylasterids,urchin_regular_pencil-cidaroida,basket_snake_stars-euryalida,crinoid_stalked-crinoid_stalked,polychaete-serpulidae,brachiopods-brachiopoda,antarctic_scallop-antarctic_scallop,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_mushroom-alcyonacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,stony_corals_solitary-scleractinia,octocorals_whip-gorgonacea,anemones_colonial-zoantharia,ascidians_stalked_colonial-ascidiacea,ascidians_stalked_solitary-ascidiacea,ascidians_unstalked_colonial-ascidiacea,ascidians_unstalked_solitary-ascidiacea,octocorals_whip-alcyonacea,anemones_colonial-corallimorpharia,sponges_crust-porifera,sponges_cup-porifera,sponges_erect-porifera,sponges_massive-porifera,octocorals_branching-gorgonacea,octocorals_branching-alcyonacea,octocorals-pennatulacea,octocorals-antipatharia
30597470,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010009961874558998,0.0,0.0,0.0,0.6944444444444444,0.0,0.0,0.0,0.26350698140813866,0.0,0.0,0.0
30610805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30610975,12.962962962962962,0.0,0.4629629629629629,2.314814814814815,0.9259259259259258,2.314814814814815,0.0,0.0,0.0,0.0,0.15980668085425748,0.0,0.0,0.0,0.0,0.0,0.0,0.43912873401200714,0.0,0.0,0.0,0.0,0.0,0.06589258873755419,0.0,0.0,0.0,0.0,0.0,0.0,0.4629629629629629,0.2128126392307277,0.0,0.0,0.0
30624651,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010521061585445739,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.4629629629629629,0.33595976430751595,0.0,0.0,0.0
30637634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12672872671317575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015013095772496633,0.0,0.0,0.0,0.0,0.027928514657118483,0.0,0.0,0.0,0.0,0.0,0.0,0.30864197530864196,0.15384723958086208,0.0,0.0,0.0
30637635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48417834890968436,0.0,0.0
30637986,1.8518518518518516,13.88888888888889,0.9259259259259258,1.8518518518518516,0.9259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6202732952395625,0.8371089519791357,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,3.2147528418501707,0.0,0.0,0.0
30637987,0.6172839506172839,0.15432098765432098,0.30864197530864196,0.4629629629629629,0.0,0.0,0.15432098765432098,1.0105523263132608,0.0,0.0,0.13974553694965544,0.01718642884773801,0.0,0.0,0.0,0.15694501163990904,0.0,0.0,0.08853234338938724,0.0,0.0,0.007103286579937816,0.5050452043169477,0.054057799723283916,0.0,0.0,0.0,0.30864197530864196,0.30864197530864196,0.0,0.4629629629629629,0.23390453125689048,0.0,0.0,0.0
30664293,2.9629629629629632,0.0,0.7407407407407408,0.7407407407407408,2.4074074074074074,0.1851851851851852,0.3703703703703704,0.0,0.0,0.0,0.18493516756993936,0.0,0.0,0.16574083445130297,0.0,0.0,0.04707368183399714,0.44777438852310325,0.0,0.0,0.0,0.07433008243233473,0.29278619640306797,0.36807534788230817,0.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0.4224744954764986,0.0,0.0,0.0
30672865,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274373762561275,0.0,2.505959218229316,0.0,0.0,0.03977842311895415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
