filename,longitude,latitude,area,survey,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea,bryozoans_hard_branching_antler-bryozoans,hydrocorals_branching-stylasterids,bryozoans_hard_branching_leaf-bryozoans,bryozoans_hard_lettuce-bryozoans,bryozoans_soft_dendroid-bryozoans,bryozoans_hard_encrusting-bryozoans,sponges_massive_round-porifera,sponges_massive_simple-porifera,bryozoans_soft_foliaceous-bryozoans,bryozoans_hard_branching_coralhead-bryozoans,sponges_crust_encrusting-porifera,sponges_erect_palmate-porifera,sponges_bead-porifera,bryozoans_soft_fan-bryozoans,sponges_hollow_tube_chimney-porifera,bryozoans_hard_fenestrate-bryozoans,sponges_erect_simple-porifera,bryozoans_purple-bryozoans,sponges_cup_table_disc-porifera,sponges_massive_barrel-porifera,sponges_erect_laminar-porifera,sponges_massive_cryptic-porifera,sponges_cup_cup_goblet-porifera,sponges_crust_creeping_ramose-porifera,sponges_erect_stalked-porifera,sponges_erect_branching-porifera,sponges_cup_incomplete_curled-porifera,n_annotation
CRS_1132_0004__CRS_1132_022.jpg,-65.39208163265306,-64.797,3.8623371833772,CRS,10036224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8948.377111841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
CRS_1132_0012__CRS_1132_029.jpg,-65.3941224489796,-64.797,4.3262076573417,CRS,10036224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153071.83036051484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
CRS_1132_0002__CRS_1132_033.jpg,-65.3956530612245,-64.797,4.0148038146058,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
CRS_1132_0010__CRS_1132_040.jpg,-65.39718367346939,-64.797,4.1969485293932,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1132_0006__CRS_1132_045.jpg,-65.39871428571429,-64.797,4.1170426624972,CRS,10036224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177219.2305313092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
CRS_1132_0001__CRS_1132_054.jpg,-65.40177551020408,-64.797,4.2207228822473,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
CRS_1132_0009__CRS_1132_058.jpg,-65.40330612244898,-64.797,3.9796087274647,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
CRS_1132_0005__CRS_1132_061.jpg,-65.40483673469387,-64.797,3.970158712532,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
CRS_1132_0003__CRS_1132_073.jpg,-65.40789795918367,-64.797,3.9577806195484,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
CRS_1132_0011__CRS_1132_083.jpg,-65.40942857142856,-64.797,3.7497270570854,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1132_0007__CRS_1132_089.jpg,-65.41095918367347,-64.797,4.0936852989297,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
CRS_1207_0008__DSC_0034-01.jpg,-69.71655555555556,-66.98244444444444,3.8404818382306,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
